,angularity,filename,empresa,gravel_size,image
29,4857.15,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_029.tif,britacet 3,19.0 (0.75),Image_029.tif
30,1847.7,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_030.tif,britacet 3,19.0 (0.75),Image_030.tif
31,3599.31,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_031.tif,britacet 3,19.0 (0.75),Image_031.tif
32,3935.23,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_032.tif,britacet 3,19.0 (0.75),Image_032.tif
33,4773.74,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_033.tif,britacet 3,19.0 (0.75),Image_033.tif
34,1756.76,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_034.tif,britacet 3,19.0 (0.75),Image_034.tif
35,3233.36,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_035.tif,britacet 3,19.0 (0.75),Image_035.tif
36,3835.42,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_036.tif,britacet 3,19.0 (0.75),Image_036.tif
37,2510.57,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_037.tif,britacet 3,19.0 (0.75),Image_037.tif
38,1715.47,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_038.tif,britacet 3,19.0 (0.75),Image_038.tif
39,2732.56,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_039.tif,britacet 3,19.0 (0.75),Image_039.tif
40,1970.92,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_040.tif,britacet 3,19.0 (0.75),Image_040.tif
41,3275.71,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_041.tif,britacet 3,19.0 (0.75),Image_041.tif
42,3004.75,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_042.tif,britacet 3,19.0 (0.75),Image_042.tif
43,3775.2,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_043.tif,britacet 3,19.0 (0.75),Image_043.tif
44,3055.91,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_044.tif,britacet 3,19.0 (0.75),Image_044.tif
45,4049.56,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_045.tif,britacet 3,19.0 (0.75),Image_045.tif
46,3062.1,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_046.tif,britacet 3,19.0 (0.75),Image_046.tif
47,2850.08,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_047.tif,britacet 3,19.0 (0.75),Image_047.tif
48,2367.13,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_048.tif,britacet 3,19.0 (0.75),Image_048.tif
49,2528.46,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\19.0 (0.75)\Angularity\Image_049.tif,britacet 3,19.0 (0.75),Image_049.tif
50,3666.39,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_000.tif,britacet 3,4.75 (#4),Image_000.tif
51,3316.33,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_001.tif,britacet 3,4.75 (#4),Image_001.tif
52,2382.53,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_002.tif,britacet 3,4.75 (#4),Image_002.tif
53,3323.55,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_003.tif,britacet 3,4.75 (#4),Image_003.tif
54,4265.22,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_004.tif,britacet 3,4.75 (#4),Image_004.tif
