,texture,filename,empresa,gravel_size,image
1233,382.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_008.tif,tecbrita,19.0 (0.75),Image_008.tif
1234,199.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_009.tif,tecbrita,19.0 (0.75),Image_009.tif
1235,256.7,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_010.tif,tecbrita,19.0 (0.75),Image_010.tif
1236,373.4,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_011.tif,tecbrita,19.0 (0.75),Image_011.tif
1237,397.9,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_012.tif,tecbrita,19.0 (0.75),Image_012.tif
1238,654.6,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_013.tif,tecbrita,19.0 (0.75),Image_013.tif
1239,486.3,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_014.tif,tecbrita,19.0 (0.75),Image_014.tif
1240,768.8,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_015.tif,tecbrita,19.0 (0.75),Image_015.tif
1241,211.2,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_016.tif,tecbrita,19.0 (0.75),Image_016.tif
1242,510.9,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_017.tif,tecbrita,19.0 (0.75),Image_017.tif
1243,657.1,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_018.tif,tecbrita,19.0 (0.75),Image_018.tif
1244,281.2,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_019.tif,tecbrita,19.0 (0.75),Image_019.tif
1245,320.5,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_020.tif,tecbrita,19.0 (0.75),Image_020.tif
1246,458.1,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_021.tif,tecbrita,19.0 (0.75),Image_021.tif
1247,436.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_022.tif,tecbrita,19.0 (0.75),Image_022.tif
1248,159.7,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_023.tif,tecbrita,19.0 (0.75),Image_023.tif
1249,176.9,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_024.tif,tecbrita,19.0 (0.75),Image_024.tif
1250,206.3,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_025.tif,tecbrita,19.0 (0.75),Image_025.tif
1251,665.7,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_026.tif,tecbrita,19.0 (0.75),Image_026.tif
1252,385.6,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_027.tif,tecbrita,19.0 (0.75),Image_027.tif
1253,443.4,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_028.tif,tecbrita,19.0 (0.75),Image_028.tif
1254,682.9,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_029.tif,tecbrita,19.0 (0.75),Image_029.tif
1255,1144.6,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_030.tif,tecbrita,19.0 (0.75),Image_030.tif
1256,550.2,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_031.tif,tecbrita,19.0 (0.75),Image_031.tif
1257,460.6,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_032.tif,tecbrita,19.0 (0.75),Image_032.tif
1258,277.6,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_033.tif,tecbrita,19.0 (0.75),Image_033.tif
1259,357.4,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_034.tif,tecbrita,19.0 (0.75),Image_034.tif
1260,428.6,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_035.tif,tecbrita,19.0 (0.75),Image_035.tif
1261,647.2,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_036.tif,tecbrita,19.0 (0.75),Image_036.tif
1262,596.9,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_037.tif,tecbrita,19.0 (0.75),Image_037.tif
1263,383.2,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_038.tif,tecbrita,19.0 (0.75),Image_038.tif
1264,336.5,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_039.tif,tecbrita,19.0 (0.75),Image_039.tif
1265,307.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_040.tif,tecbrita,19.0 (0.75),Image_040.tif
1266,483.9,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_041.tif,tecbrita,19.0 (0.75),Image_041.tif
1267,267.7,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_042.tif,tecbrita,19.0 (0.75),Image_042.tif
1268,515.8,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_043.tif,tecbrita,19.0 (0.75),Image_043.tif
1269,569.9,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_044.tif,tecbrita,19.0 (0.75),Image_044.tif
1270,277.6,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_045.tif,tecbrita,19.0 (0.75),Image_045.tif
1271,323.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_046.tif,tecbrita,19.0 (0.75),Image_046.tif
1272,336.5,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_047.tif,tecbrita,19.0 (0.75),Image_047.tif
1273,352.5,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_048.tif,tecbrita,19.0 (0.75),Image_048.tif
1274,563.7,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\19.0 (0.75)\Texture\Image_049.tif,tecbrita,19.0 (0.75),Image_049.tif
1275,105.6,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_000.tif,tecbrita,4.75 (#4),Image_000.tif
1276,794.6,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_001.tif,tecbrita,4.75 (#4),Image_001.tif
1277,350.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_002.tif,tecbrita,4.75 (#4),Image_002.tif
1278,619.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_003.tif,tecbrita,4.75 (#4),Image_003.tif
1279,212.5,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_004.tif,tecbrita,4.75 (#4),Image_004.tif
1280,585.8,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_005.tif,tecbrita,4.75 (#4),Image_005.tif
1281,368.4,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_006.tif,tecbrita,4.75 (#4),Image_006.tif
1282,278.8,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_007.tif,tecbrita,4.75 (#4),Image_007.tif
1283,144.9,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_008.tif,tecbrita,4.75 (#4),Image_008.tif
1284,383.2,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_009.tif,tecbrita,4.75 (#4),Image_009.tif
1285,246.9,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_010.tif,tecbrita,4.75 (#4),Image_010.tif
1286,208.8,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_011.tif,tecbrita,4.75 (#4),Image_011.tif
1287,361.1,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_012.tif,tecbrita,4.75 (#4),Image_012.tif
1288,800.8,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_013.tif,tecbrita,4.75 (#4),Image_013.tif
